1 threads, x = 1000 e y = 1000, Resultado: 1.398916, Tempo: 0.020801, DONE
1 threads, x = 1000 e y = 10000, Resultado: 1.399207, Tempo: 0.185559, DONE
1 threads, x = 1000 e y = 100000, Resultado: 1.399235, Tempo: 1.989455, DONE
1 threads, x = 10000 e y = 1000, Resultado: 1.399207, Tempo: 0.179490, DONE
1 threads, x = 10000 e y = 10000, Resultado: 1.399496, Tempo: 1.785911, DONE
1 threads, x = 10000 e y = 100000, Resultado: 1.399524, Tempo: 18.254505, DONE
1 threads, x = 100000 e y = 1000, Resultado: 1.399235, Tempo: 1.850303, DONE
1 threads, x = 100000 e y = 10000, Resultado: 1.399524, Tempo: 20.412968, DONE
1 threads, x = 100000 e y = 100000, Resultado: 1.399553, Tempo: 201.549019, DONE
2 threads, x = 1000 e y = 1000, Resultado: 1.398916, Tempo: 0.013106, DONE
2 threads, x = 1000 e y = 10000, Resultado: 1.399207, Tempo: 0.105695, DONE
2 threads, x = 1000 e y = 100000, Resultado: 1.399235, Tempo: 1.184837, DONE
2 threads, x = 10000 e y = 1000, Resultado: 1.399207, Tempo: 0.125665, DONE
2 threads, x = 10000 e y = 10000, Resultado: 1.399496, Tempo: 1.198249, DONE
2 threads, x = 10000 e y = 100000, Resultado: 1.399524, Tempo: 13.191812, DONE
2 threads, x = 100000 e y = 1000, Resultado: 1.399235, Tempo: 1.161745, DONE
2 threads, x = 100000 e y = 10000, Resultado: 1.399524, Tempo: 13.619628, DONE
2 threads, x = 100000 e y = 100000, Resultado: 1.399553, Tempo: 110.655876, DONE
4 threads, x = 1000 e y = 1000, Resultado: 1.398916, Tempo: 0.008809, DONE
4 threads, x = 1000 e y = 10000, Resultado: 1.399207, Tempo: 0.072814, DONE
4 threads, x = 1000 e y = 100000, Resultado: 1.399235, Tempo: 0.702819, DONE
4 threads, x = 10000 e y = 1000, Resultado: 1.399207, Tempo: 0.079383, DONE
4 threads, x = 10000 e y = 10000, Resultado: 1.399496, Tempo: 0.748432, DONE
4 threads, x = 10000 e y = 100000, Resultado: 1.399524, Tempo: 7.099460, DONE
4 threads, x = 100000 e y = 1000, Resultado: 1.399235, Tempo: 0.716960, DONE
4 threads, x = 100000 e y = 10000, Resultado: 1.399524, Tempo: 7.143066, DONE
4 threads, x = 100000 e y = 100000, Resultado: 1.399553, Tempo: 70.514377, DONE
8 threads, x = 1000 e y = 1000, Resultado: 1.398916, Tempo: 0.006961, DONE
8 threads, x = 1000 e y = 10000, Resultado: 1.399207, Tempo: 0.056618, DONE
8 threads, x = 1000 e y = 100000, Resultado: 1.399235, Tempo: 0.503256, DONE
8 threads, x = 10000 e y = 1000, Resultado: 1.399207, Tempo: 0.055519, DONE
8 threads, x = 10000 e y = 10000, Resultado: 1.399496, Tempo: 0.570785, DONE
8 threads, x = 10000 e y = 100000, Resultado: 1.399524, Tempo: 5.289394, DONE
8 threads, x = 100000 e y = 1000, Resultado: 1.399235, Tempo: 0.625938, DONE
8 threads, x = 100000 e y = 10000, Resultado: 1.399524, Tempo: 6.041457, DONE
8 threads, x = 100000 e y = 100000, Resultado: 1.399553, Tempo: 58.691538, DONE
Execução finalizada
